elapsed_secs,success,errors,tps_window,memory_bytes,queue_depth,wal_bytes,total_rows,connections
40,344344,0,11478,0,0,13692711,25,500
70,637090,0,9756,0,0,12377683,25,500
100,929345,0,9740,0,0,10972047,25,500
130,1220692,0,9709,0,0,9387890,25,500
160,1511768,0,9699,0,0,7775597,25,500
190,1802828,0,9701,0,0,6182792,25,500
220,2093885,0,9697,0,0,4571056,25,500
250,2385031,0,9702,0,0,2987619,25,500
280,2676818,0,9725,0,0,1511923,25,500
310,2968155,0,9707,0,0,17984323,25,500
340,3259655,0,9715,0,0,16444990,25,500
370,3550900,0,9706,0,0,14851242,25,500
400,3842192,0,9707,0,0,13268738,25,500
430,4133397,0,9704,0,0,11681892,25,500
460,4424733,0,9708,0,0,10114363,25,500
490,4716204,0,9712,0,0,8573721,25,500
520,5007288,0,9700,0,0,6986821,25,500
550,5298882,0,9716,0,0,5477776,25,500
580,5589916,0,9700,0,0,3864234,25,500
610,5881042,0,9702,0,0,2268193,25,500
640,6172800,0,9722,0,0,798126,25,500
670,6464034,0,9707,0,0,17248492,25,500
700,6755571,0,9715,0,0,15721065,25,500
730,7047078,0,9715,0,0,14161655,25,500
760,7338645,0,9717,0,0,12648946,25,500
790,7630265,0,9718,0,0,11146769,25,500
820,7921440,0,9703,0,0,9534619,25,500
850,8213002,0,9717,0,0,8035129,25,500
880,8504715,0,9720,0,0,6529843,25,500
910,8796227,0,9714,0,0,5005439,25,500
940,9087790,0,9716,0,0,3483253,25,500
970,9379540,0,9722,0,0,2006710,25,500
1000,9671085,0,9716,0,0,451220,25,500
1030,9962556,0,9713,0,0,16961709,25,500
1060,10254078,0,9715,0,0,15432076,25,500
1090,10545747,0,9719,0,0,13946469,25,500
1120,10837567,0,9725,0,0,12499532,25,500
1150,11129363,0,9724,0,0,11003638,25,500
1180,11421097,0,9723,0,0,9515326,25,500
1210,11713044,0,9725,0,0,8033335,25,500
1240,12004563,0,9715,0,0,6499006,25,500
1270,12296373,0,9724,0,0,5031137,25,500
1300,12587884,0,9715,0,0,3524198,25,500
1330,12879727,0,9726,0,0,2028147,25,500
1360,13171120,0,9711,0,0,485526,25,500
1390,13462585,0,9714,0,0,17035150,25,500
1420,13754464,0,9724,0,0,15515828,25,500
1450,14046047,0,9716,0,0,13998121,25,500
1480,14337886,0,9726,0,0,12522021,25,500
1510,14629451,0,9716,0,0,11009943,25,500
1540,14920984,0,9716,0,0,9478699,25,500
1570,15212847,0,9726,0,0,8009169,25,500
1600,15504456,0,9717,0,0,6497568,25,500
1630,15796315,0,9725,0,0,5022461,25,500
1661,16087814,0,9715,0,0,3495833,25,500
1691,16379737,0,9728,0,0,2014256,25,500
1721,16671275,0,9716,0,0,511860,25,500
1751,16962871,0,9717,0,0,17038973,25,500
1781,17254735,0,9726,0,0,15561823,25,500
1811,17546587,0,9727,0,0,14078064,25,500
1841,17837843,0,9706,0,0,12493390,25,500
1871,18129539,0,9720,0,0,11013018,25,500
1901,18421512,0,9730,0,0,9565862,25,500
1931,18713060,0,9715,0,0,8048328,25,500
1961,19004805,0,9722,0,0,6557112,25,500
1991,19296308,0,9715,0,0,5039586,25,500
2021,19588041,0,9721,0,0,3547290,25,500
2051,19879764,0,9720,0,0,2016915,25,500
2081,20171347,0,9717,0,0,482797,25,500
2111,20463298,0,9728,0,0,17109735,25,500
2141,20755291,0,9730,0,0,15656071,25,500
2171,21046449,0,9703,0,0,14150073,25,500
2201,21338186,0,9720,0,0,12623342,25,500
2231,21629988,0,9724,0,0,11108123,25,500
2261,21921539,0,9716,0,0,9573420,25,500
2291,22213319,0,9720,0,0,8076641,25,500
2321,22505037,0,9721,0,0,6597005,25,500
2351,22796764,0,9721,0,1,5104367,25,500
2381,23088586,0,9725,0,0,3609760,25,500
2411,23380260,0,9719,0,0,2116197,25,500
2441,23671786,0,9715,0,0,578089,25,500
2471,23963394,0,9717,0,0,17161552,25,500
2501,24255369,0,9730,0,0,15680589,25,500
2531,24547026,0,9719,0,0,14168845,25,500
2561,24838791,0,9723,0,0,12652769,25,500
2591,25130517,0,9723,0,0,11188271,25,500
2621,25422335,0,9724,0,0,9699046,25,500
2651,25713980,0,9718,0,0,8210579,25,500
2681,26005706,0,9721,0,0,6679323,25,500
2711,26297276,0,9717,0,0,5226576,25,500
2741,26588977,0,9721,0,0,3700004,25,500
2771,26880449,0,9713,0,0,2165856,25,500
2801,27172190,0,9722,0,0,673027,25,500
2831,27463765,0,9717,0,0,17203734,25,500
2861,27755776,0,9731,0,0,15702456,25,500
2891,28047426,0,9718,0,0,14210367,25,500
2921,28339280,0,9727,0,0,12746605,25,500
2951,28630867,0,9717,0,0,11240957,25,500
2981,28922503,0,9719,0,0,9740182,25,500
3011,29214365,0,9726,0,0,8275726,25,500
3041,29505954,0,9717,0,0,6743376,25,500
3071,29797666,0,9722,0,0,5255470,25,500
3101,30089415,0,9722,0,0,3738427,25,500
3131,30380936,0,9711,0,0,2245455,25,500
3161,30672685,0,9722,0,0,782067,25,500
3191,30964211,0,9716,0,0,17275749,25,500
3221,31255790,0,9716,0,0,15747220,25,500
3251,31547664,0,9727,0,0,14262536,25,500
3281,31839236,0,9716,0,0,12737219,25,500
3311,32130768,0,9716,0,0,11206665,25,500
3341,32422468,0,9720,0,0,9747257,25,500
3371,32714129,0,9719,0,0,8234946,25,500
3401,33005969,0,9722,0,0,6768300,25,500
3431,33297380,0,9710,0,0,5207237,25,500
3461,33588877,0,9714,0,0,3716043,25,500
3491,33880570,0,9720,0,0,2165856,25,500
3521,34172166,0,9717,0,1,667062,25,500
3551,34463889,0,9721,0,0,17202473,25,500
3581,34755368,0,9713,0,0,15694697,25,500
3611,34934402,0,5965,0,0,11857869,25,0
