elapsed_secs,success,errors,tps_window,memory_bytes,queue_depth,wal_bytes,total_rows,connections
40,343298,0,11443,0,27,1663221,25,500
70,634871,0,9716,0,0,125266,25,500
100,926513,0,9720,0,0,16683405,25,500
130,1217719,0,9704,0,0,15075269,25,500
160,1509218,0,9715,0,0,13541483,25,500
190,1800494,0,9707,0,0,11958768,25,500
220,2092055,0,9716,0,0,10469032,25,500
250,2383571,0,9716,0,0,8936312,25,500
280,2674956,0,9710,0,0,7377443,25,500
310,2966150,0,9705,0,0,5779586,25,500
340,3257549,0,9711,0,0,4235151,25,500
370,3548777,0,9704,0,0,2643951,25,500
400,3840154,0,9711,0,0,1112349,25,500
430,4131411,0,9707,0,0,17526120,25,500
460,4422507,0,9702,0,0,15903695,25,500
490,4713944,0,9712,0,0,14384904,25,500
520,5005043,0,9701,0,0,12814831,25,500
550,5296570,0,9715,0,0,11283384,25,500
580,5587811,0,9705,0,0,9694161,25,500
610,5774336,0,6216,0,0,7232695,25,0
